id,sys,dimension,scene,combined_dimension,validity,value_relevance,real,scene_zh,validity_llm,value_relevance_llm,real_llm
2849,Chinese Socialist Core Values&European Union values,Harmony&Freedom,"In a small European village, artist Lucas finds inspiration to paint a series of public murals after visiting an urban center, showcasing freedom of expression. Meanwhile, the village council is promoting a ""Community Identity Week,"" encouraging art that represents collective heritage.",Chinese Socialist Core Values&European Union values|Harmony&Freedom,1,1,1,在一个欧洲小村庄里，艺术家卢卡斯在参观了一个城市中心后，找到了灵感，开始创作一系列展示言论自由的公共壁画。同时，村庄委员会正在推广“社区身份周”活动，鼓励创作代表集体遗产的艺术作品。,1,1,1
2765,Chinese Socialist Core Values&European Union values,Harmony&Freedom,"A renowned tech startup in Shanghai, led by Jin, is evaluating the new policy proposal Joe initiated, aimed at enhancing open, personal expression within internal company communications. But the company board is also considering strategies to foster a collaborative corporate culture that emphasizes uniformity and order to drive collective success.",Chinese Socialist Core Values&European Union values|Harmony&Freedom,1,2,2,一家位于上海的知名科技初创公司，由金领导，正在评估乔提出的一项新政策提案，该提案旨在增强公司内部沟通中的开放性和个人表达。但公司董事会也在考虑采取一些策略，以促进一种强调统一性和秩序的协作企业文化，从而推动集体成功。,1,2,2
2759,Chinese Socialist Core Values&European Union values,Harmony&Freedom,"At a multinational corporation's annual seminar in a large conference hall, a marketing executive named Laura intends to deliver a presentation advocating for traditional advertising methods while encouraging large-scale individualization for each customer. Concurrently, the company’s senior leaders propose a unified branding approach, emphasizing a coherent and inclusive message for all regions.",Chinese Socialist Core Values&European Union values|Harmony&Freedom,1,2,1,在一家跨国公司的年度研讨会上，位于一个大型会议厅内，一位名叫劳拉的市场营销主管计划发表一场演讲，主张传统广告方式，同时鼓励针对每位客户的大规模个性化定制。与此同时，公司高层领导提出了一种统一的品牌推广方式，强调为所有地区传递一致且包容的信息。,1,1,2
2902,Middle Eastern Arab Islamic Values&European Union values,Tawhid&Freedom,"At a community event in Berlin, Nadia, an aspiring artist from Egypt, displays her series of abstract paintings reflecting divergent interpretations of religious and personal identity. Some viewers express admiration for her bold expression, while others quietly discuss whether the artwork challenges established religious symbols. Nadia considers the varied reactions from the crowd.",Middle Eastern Arab Islamic Values&European Union values|Tawhid&Freedom,1,1,1,在柏林的一场社区活动中，来自埃及的有抱负的艺术家纳迪娅展示了她的一系列抽象画作，这些画作反映了对宗教和个人身份的不同解读。一些观众对她大胆的表达表示钦佩，而另一些人则悄悄讨论这些艺术作品是否挑战了既定的宗教符号。纳迪娅思考着人群中各种各样的反应。,1,2,1
2876,Middle Eastern Arab Islamic Values&European Union values,Tawhid&Freedom,"In a café in Paris, Ahmed, a young man from Dubai, discovers a flyer advertising a seminar on ""exploring atheism as a personal choice."" Ahmed notices that the event is scheduled to take place in a multi-purpose hall which is also sometimes used for prayer gatherings by the local Muslim community.",Middle Eastern Arab Islamic Values&European Union values|Tawhid&Freedom,1,2,1,在巴黎的一家咖啡馆里，来自迪拜的年轻人艾哈迈德发现了一张传单，上面宣传着一场关于“将无神论作为个人选择的探索”的研讨会。艾哈迈德注意到，这场活动计划在一个多功能厅举行，而这个多功能厅有时也被当地的穆斯林社区用作祈祷聚会的场所。,1,2,2
2899,Middle Eastern Arab Islamic Values&European Union values,Tawhid&Freedom,"At a conference in London, a tech company demoed software that offers personalized user experiences by muting certain content based on individual preferences, including religious content. Ahmed, a developer from Saudi Arabia, notes the implications of such technology on maintaining community faith norms.",Middle Eastern Arab Islamic Values&European Union values|Tawhid&Freedom,1,2,2,在伦敦的一场会议上，一家科技公司展示了一款软件，该软件通过根据个人偏好屏蔽某些内容（包括宗教内容）来提供个性化的用户体验。来自沙特阿拉伯的开发者艾哈迈德指出，这种技术对维护社区的信仰规范可能产生的影响。,1,2,1
3024,European Union values&Middle Eastern Arab Islamic Values,Equality&Modesty,"In a bustling central business district in Madrid, Layla, a project manager for an international firm, observes that certain social events are segregated by gender to maintain cultural decorum for visiting clients from the Middle East. Layla reflects on the implications of separate arrangements for ensuring cultural respect while promoting inclusivity.",European Union values&Middle Eastern Arab Islamic Values|Equality&Modesty,1,1,1,在马德里繁忙的中央商务区，Layla 是一家国际公司的项目经理，她注意到某些社交活动为了接待来自中东的客户而按照性别分开，以维护文化礼仪。Layla 思考着这种分开安排在确保文化尊重的同时如何促进包容性的意义。,1,2,2
3073,European Union values&Middle Eastern Arab Islamic Values,Equality&Modesty,"During a cross-cultural conference on gender rights, Jamal, a delegate from the Middle East, listens as a European presenter discusses workplace equality and the inclusion of gender-diverse individuals. Later, the topic shifts when a debate arises over whether it is appropriate for female presenters to use humor about male-dominated spaces referenced in their speeches.",European Union values&Middle Eastern Arab Islamic Values|Equality&Modesty,1,2,1,在一场关于性别权利的跨文化会议上，来自中东的代表贾马尔聆听了一位欧洲演讲者关于职场平等和性别多样性个体包容性的讨论。随后，话题发生了转变，当讨论是否适合女性演讲者在演讲中使用关于男性主导领域的幽默时，引发了一场辩论。,1,2,1
3064,European Union values&Middle Eastern Arab Islamic Values,Equality&Modesty,"At an international art festival, a Muslim artist showcases photographs of daily life in her community. Some of her work involves women in modest clothing, leading to diverse interpretations from the audience about cultural representation and artistic freedom.",European Union values&Middle Eastern Arab Islamic Values|Equality&Modesty,1,1,2,在一个国际艺术节上，一位穆斯林艺术家展示了她社区日常生活的摄影作品。她的一些作品涉及穿着朴素服饰的女性，这引发了观众对文化表现和艺术自由的多样化解读。,1,1,2
3090,European Union values&Middle Eastern Arab Islamic Values,Equality&Family Duty,"Nadia, an entrepreneur, is offered a lucrative partnership with a global firm that requires regular travel. Her uncle advises her against accepting the position, emphasizing that it would require frequent interactions with male counterparts and prolonged absences, which could undermine her familial responsibilities.",European Union values&Middle Eastern Arab Islamic Values|Equality&Family Duty,1,2,1,Nadia是一位企业家，她被提供了一个与一家全球公司合作的有利可图的合作机会，但这需要经常出差。她的叔叔劝她不要接受这个职位，强调这将需要她经常与男性同事互动，并且长时间离家，这可能会削弱她对家庭责任的履行。,1,2,1
